Sr. No.,Code,Algorithm
90,"class Solution:
        def nextLargerElement(self, arr, n):
                # Initialize a list to store the next greater elements.
                v = [-1] * n

                # Initialize a variable to keep track of the maximum element seen so far.
                mx = arr[n-1]

                # Iterate over the array from right to left.
                for i in range(n-2, -1, -1):
                        # If the element to the right is greater than the current element,
                        # then the next greater element for the current element is the element to the right.
                        if arr[i+1] > arr[i]:
                                v[i] = arr[i+1]
                        else:
                                # If the next greater element for the element to the right is greater than the current element,
                                # then the next greater element for the current element is the next greater element for the element to the right.
                                if v[i+1] > arr[i]:
                                        v[i] = v[i+1]
                                elif mx > arr[i]:
                                        # If there is no next greater element to the right that is greater than the current element,
                                        # then we need to find the next greater element that is greater than the current element and to its right.
                                        # Initialize a variable to keep track of the index of the next greater element.
                                        k = i+1
                                        # Iterate over the array from the current element to its right to find the next greater element.
                                        while arr[k] <= arr[i]:
                                                k += 1
                                        v[i] = arr[k]
                                else:
                                        # If there is no next greater element to the right that is greater than the current element
                                        # and there is no next greater element to the right that is greater than the next greater element for the current element,
                                        # then there is no next greater element for the current element.
                                        v[i] = -1
                        # Update the maximum element seen so far.
                        mx = max(arr[i], mx)

                # Return the list containing the next greater elements.
                return v


# Input array
arr = [3, 8, 4, 1, 2, 6, 7, 2]
n = len(arr)

# Create an instance of the Solution class
sol = Solution()

# Call the nextLargerElement function
result = sol.nextLargerElement(arr, n)

# Print the result
print ""For the input array [3, 8, 4, 1, 2, 6, 7, 2], the next greater elements are: "",
for i in range(n):
        print result[i],
print
","1. Initialize an output array v with -1 as the initial value for each element.
2. Set the maximum element seen so far (mx) to be the last element of the input array.
3. Traverse the input array from right to left.
4. For each element arr[i], if the next element arr[i+1] is greater than arr[i], then set v[i] to arr[i+1] since arr[i+1] is the next greater element for arr[i].
5. If arr[i+1] is not greater than arr[i], then check v[i+1]. If v[i+1] is greater than arr[i], then set v[i] to v[i+1] since v[i+1] is the next greater element for arr[i].
6. If v[i+1] is not greater than arr[i], then check the maximum element seen so far (mx). If mx is greater than arr[i], then traverse the subarray to the right of arr[i] until an element greater than arr[i] is found. Set v[i] to that element. If no such element is found, set v[i] to -1.
7. If mx is not greater than arr[i], set v[i] to -1.
8. Update the maximum element seen so far (mx) to be the maximum of arr[i] and mx.
9. Return the output array v."
91,"# your code goes here
def removeDuplicates(s):
    st = []

    for i in range(len(s)):
    
        if len(st)==0:
            st.append(s[i])
        else:
    
            if st[-1] == s[i]:
                st.pop()
            else:
                st.append(s[i])
    
    ans = """"
    
    while st:
        ans = ans + st[-1]
        st.pop()
    
    ans = ans[::-1]
    return ans

s = input()
s = removeDuplicates(s)
print(s)","1. This is the standard stack problem.Let’s see how stack works here.

2. Iterate through the string from left to right,if stack is empty put the current character onto the stack.

3. Else check if the top of the stack equals the current element then pop the top element from the stack, if not push the current element.

4. In this way we are exploiting the LIFO property of the stack.Now add the contents of the stack onto new string and reverse it to preserve the order.Below solution explains it better."
92,"class MinStack(object):
   min=float('inf')
   def __init__(self):
      self.min=float('inf')
      self.stack = []
   def push(self, x):
      if x<=self.min:
         self.stack.append(self.min)
         self.min = x
      self.stack.append(x)
   def pop(self):
      t = self.stack[-1]
      self.stack.pop()
      if self.min == t:
         self.min = self.stack[-1]
         self.stack.pop()
   def top(self):
      return self.stack[-1]
   def getMin(self):
      return self.min
m = MinStack()
m.push(-2)
m.push(0)
m.push(-3)
print(m.getMin())
m.pop()
print(m.top())
print(m.getMin())","1. Initialize the stack by min element as infinity
2. For push operation push(x)
    a. if x < min, then update min := x,
    b. push x into stack
3. For pop operation pop()
    a. t := top element
    b. delete t from stack
    c. if t is min, then min := top element of the stack
4. For top operation top()
    a. simply return the top element
5. for getMin operation getMin()
    a. return the min element"
93,"# Python program to sort a
# stack using auxiliary stack.

# This function return the sorted stack
def sortStack ( stack ):
        tmpStack = createStack()
        while(isEmpty(stack) == False):
                
                # pop out the first element
                tmp = top(stack)
                pop(stack)

                # while temporary stack is not
                # empty and top of stack is
                # greater than temp
                while(isEmpty(tmpStack) == False and
                        int(top(tmpStack)) > int(tmp)):
                        
                        # pop from temporary stack and
                        # push it to the input stack
                        push(stack,top(tmpStack))
                        pop(tmpStack)

                # push temp in temporary of stack
                push(tmpStack,tmp)
        
        return tmpStack

# Below is a complete running
# program for testing above
# function.

# Function to create a stack.
# It initializes size of stack
# as 0
def createStack():
        stack = []
        return stack

# Function to check if
# the stack is empty
def isEmpty( stack ):
        return len(stack) == 0

# Function to push an
# item to stack
def push( stack, item ):
        stack.append( item )

# Function to get top
# item of stack
def top( stack ):
        p = len(stack)
        return stack[p-1]

# Function to pop an
# item from stack
def pop( stack ):

        # If stack is empty
        # then error
        if(isEmpty( stack )):
                print(""Stack Underflow "")
                exit(1)

        return stack.pop()

# Function to print the stack
def prints(stack):
        for i in range(len(stack)-1, -1, -1):
                print(stack[i], end = ' ')
        print()

# Driver Code
stack = createStack()
push( stack, str(34) )
push( stack, str(3) )
push( stack, str(31) )
push( stack, str(98) )
push( stack, str(92) )
push( stack, str(23) )

print(""Sorted numbers are: "")
sortedst = sortStack ( stack )
prints(sortedst)

# This code is contributed by
# Prasad Kshirsagar
","1. Create a temporary stack say tmpStack.
2. While input stack is NOT empty do this: 
    a. Pop an element from input stack call it temp
    b. while temporary stack is NOT empty and top of temporary stack is greater than temp, 
        pop from temporary stack and push it to the input stack
    c. push temp in temporary stack
3. The sorted numbers are in tmpStack"
94,"# Python program to sort a stack using recursion

# Recursive method to insert element in sorted way


def sortedInsert(s, element):

        # Base case: Either stack is empty or newly inserted
        # item is greater than top (more than all existing)
        if len(s) == 0 or element > s[-1]:
                s.append(element)
                return
        else:

                # Remove the top item and recur
                temp = s.pop()
                sortedInsert(s, element)

                # Put back the top item removed earlier
                s.append(temp)

# Method to sort stack


def sortStack(s):

        # If stack is not empty
        if len(s) != 0:

                # Remove the top item
                temp = s.pop()

                # Sort remaining stack
                sortStack(s)

                # Push the top item back in sorted stack
                sortedInsert(s, temp)

# Printing contents of stack


def printStack(s):
        for i in s[::-1]:
                print(i, end="" "")
        print()


# Driver Code
if __name__ == '__main__':
        s = []
        s.append(30)
        s.append(-5)
        s.append(18)
        s.append(14)
        s.append(-3)

        print(""Stack elements before sorting: "")
        printStack(s)

        sortStack(s)

        print(""\nStack elements after sorting: "")
        printStack(s)

# This code is contributed by Muskan Kalra.
","1. Create a stack and push all the elements in it.
2. Call sortStack(), which will pop an element from the stack and pass the popped element to function sortInserted(), then it will keep calling itself until the stack is empty.
3. Whenever sortInserted() is called it will insert the passed element in stack in sorted order.
4. Print the stack"
95,"# Function to sort a stack using recursion
def sortStack(s):
        # If the stack is empty, return
        if not s:
                return

        # Remove the top element of the stack
        x = s.pop()

        # Sort the remaining elements in the stack using recursion
        sortStack(s)

        # Create two auxiliary stacks
        tempStack = []

        # Move all elements that are greater than x from the main stack to the tempStack
        while s and s[-1] > x:
                tempStack.append(s.pop())

        # Push x back into the main stack
        s.append(x)

        # Move all elements from tempStack back to the main stack
        while tempStack:
                s.append(tempStack.pop())

# Create a stack
s = []

# Push elements into the stack
s.append(34)
s.append(3)
s.append(31)
s.append(98)
s.append(92)
s.append(23)

# Sort the stack
sortStack(s)

# Print the sorted elements
print(""Sorted numbers are: "", end="""")
while s:
        print(s.pop(), end="" "")
","1. Create a stack and push all the elements in it.
2. Call sortStack(), which will pop an element from the stack and pass the popped element to function sortInserted(), then it will keep calling itself until the stack is empty.
3. Whenever sortInserted() is called it will insert the passed element in stack in sorted order.
4. Print the stack"
96,"# Python3 program to sort an array using stack

# This function return the sorted stack
def sortStack(input):
        tmpStack = []
        while (len(input) > 0):
        
                # pop out the first element
                tmp = input[-1]
                input.pop()

                # while temporary stack is not empty
                # and top of stack is smaller than temp
                while (len(tmpStack) > 0 and tmpStack[-1] < tmp):
                
                        # pop from temporary stack and
                        # append it to the input stack
                        input.append(tmpStack[-1])
                        tmpStack.pop()
                
                # append temp in temporary of stack
                tmpStack.append(tmp)
        
        return tmpStack

def sortArrayUsingStacks(arr, n):

        # append array elements to stack
        input = []
        i = 0
        while ( i < n ):
                input.append(arr[i])
                i = i + 1
                
        # Sort the temporary stack
        tmpStack = sortStack(input)
        i = 0
        
        # Put stack elements in arrp[]
        while (i < n):
                arr[i] = tmpStack[-1]
                tmpStack.pop()
                i = i + 1
                
        return arr

# Driver code
arr = [10, 5, 15, 45]
n = len(arr)

arr = sortArrayUsingStacks(arr, n)
i = 0

while (i < n):
        print(arr[i] ,end= "" "")
        i = i + 1

# This code is contributed by Arnab Kundu
","1. Create a recursive insert function that inserts a number into the stack at the right positions so as to maintain monotonically decreasing property . Working of insert method is below
    a. If the stack is empty or top of stack is greater than the current number than push it into the stack and return
    b. Else pop the top of the stack and store it into a variable x and call the insert function recursively
    c. At the end of the current call , insert x back into the stack
2. Traverse the array from left to right , and insert every element into the monotonic stack using the insert method we have discussed above . At the end of the traversal we will get a monotonic decreasing stack .

3. Now pop each element from the stack and store them into the array from left to right . The array will be sorted in increasing order ."
97,"# Python3 program to find infix for
# a given postfix.
def isOperand(x):
        return ((x >= 'a' and x <= 'z') or
                        (x >= 'A' and x <= 'Z'))

# Get Infix for a given postfix
# expression
def getInfix(exp) :

        s = []

        for i in exp:        
                
                # Push operands
                if (isOperand(i)) :                
                        s.insert(0, i)
                        
                # We assume that input is a
                # valid postfix and expect
                # an operator.
                else:
                
                        op1 = s[0]
                        s.pop(0)
                        op2 = s[0]
                        s.pop(0)
                        s.insert(0, ""("" + op2 + i +
                                                        op1 + "")"")
                        
        # There must be a single element in
        # stack now which is the required
        # infix.
        return s[0]

# Driver Code
if __name__ == '__main__':

        exp = ""ab*c+""
        print(getInfix(exp.strip()))

# This code is contributed by
# Shubham Singh(SHUBHAMSINGH10)
","1.While there are input symbol left 
…1.1 Read the next symbol from the input. 
2.If the symbol is an operand 
…2.1 Push it onto the stack. 
3.Otherwise, 
…3.1 the symbol is an operator. 
…3.2 Pop the top 2 values from the stack. 
…3.3 Put the operator, with the values as arguments and form a string. 
…3.4 Push the resulted string back to stack. 
4.If there is only one value in the stack 
…4.1 That value in the stack is the desired infix string. 
Below is the implementation of above approach: "
98,"class Stack():
    def __init__(self):
        self.size = 0
        self.content = list()
    def is_empty(self):
        return not bool(self.content)
    def push(self,elem):
        self.content.append(elem)
        self.size = len(self.content)-1
    def pop_(self):
        if not self.is_empty():

            elem = self.content.pop()
            size = len(self.content)-1
            return elem
        else:
            return None
    def peek(self):
        if not self.is_empty():
            return self.content[-1]
        else:
            return None
    def display(self):
        if not self.is_empty():
            return self.content
        else:
            return None
def post_to_in(entry):
    changer = Stack()
    for k in entry:
        if k.isalpha():
            changer.push(k)
        elif k in ['+','-','*','/','^']:
            b = changer.pop_()
            a = changer.pop_()
            add_str = '('+a+k+b+')'
            changer.push(add_str)
        changer.display()    
    return changer.pop_()","1.While there are input symbol left 
…1.1 Read the next symbol from the input. 
2.If the symbol is an operand 
…2.1 Push it onto the stack. 
3.Otherwise, 
…3.1 the symbol is an operator. 
…3.2 Pop the top 2 values from the stack. 
…3.3 Put the operator, with the values as arguments and form a string. 
…3.4 Push the resulted string back to stack. 
4.If there is only one value in the stack 
…4.1 That value in the stack is the desired infix string. 
Below is the implementation of above approach: "
99,"# Recursive Python function to solve the tower of hanoi

def TowerOfHanoi(n , source, destination, auxiliary):
        if n==1:
                print (""Move disk 1 from source"",source,""to destination"",destination)
                return
        TowerOfHanoi(n-1, source, auxiliary, destination)
        print (""Move disk"",n,""from source"",source,""to destination"",destination)
        TowerOfHanoi(n-1, auxiliary, destination, source)
                
# Driver code
n = 4
TowerOfHanoi(n,'A','B','C')
# A, C, B are the name of rods

# Contributed By Dilip Jain
","1. Function f() (e.g. hanoi(n,start,end)) outputs a sequence of steps to move n disks from the start rod to the end rod.
2. Show f(1) works => Base case.
3. Assume f(n-1) works .
4. Show f(1) works using f(n-1)."
100,"# Python3 program for iterative Tower of Hanoi
import sys

# A structure to represent a stack
class Stack:
        # Constructor to set the data of
        # the newly created tree node
        def __init__(self, capacity):
                self.capacity = capacity
                self.top = -1
                self.array = [0]*capacity

# function to create a stack of given capacity.
def createStack(capacity):
        stack = Stack(capacity)
        return stack

# Stack is full when top is equal to the last index
def isFull(stack):
        return (stack.top == (stack.capacity - 1))

# Stack is empty when top is equal to -1
def isEmpty(stack):
        return (stack.top == -1)

# Function to add an item to stack.
# It increases top by 1
def push(stack, item):
        if(isFull(stack)):
                return
        stack.top+=1
        stack.array[stack.top] = item

# Function to remove an item from stack.
# It decreases top by 1
def Pop(stack):
        if(isEmpty(stack)):
                return -sys.maxsize
        Top = stack.top
        stack.top-=1
        return stack.array[Top]

# Function to implement legal
# movement between two poles
def moveDisksBetweenTwoPoles(src, dest, s, d):
        pole1TopDisk = Pop(src)
        pole2TopDisk = Pop(dest)

        # When pole 1 is empty
        if (pole1TopDisk == -sys.maxsize):
                push(src, pole2TopDisk)
                moveDisk(d, s, pole2TopDisk)
        
        # When pole2 pole is empty
        else if (pole2TopDisk == -sys.maxsize):
                push(dest, pole1TopDisk)
                moveDisk(s, d, pole1TopDisk)
        
        # When top disk of pole1 > top disk of pole2
        else if (pole1TopDisk > pole2TopDisk):
                push(src, pole1TopDisk)
                push(src, pole2TopDisk)
                moveDisk(d, s, pole2TopDisk)
        
        # When top disk of pole1 < top disk of pole2
        else:
                push(dest, pole2TopDisk)
                push(dest, pole1TopDisk)
                moveDisk(s, d, pole1TopDisk)

# Function to show the movement of disks
def moveDisk(fromPeg, toPeg, disk):
        print(""Move the disk"", disk, ""from '"", fromPeg, ""' to '"", toPeg, ""'"")

# Function to implement TOH puzzle
def tohIterative(num_of_disks, src, aux, dest):
        s, d, a = 'S', 'D', 'A'

        # If number of disks is even, then interchange
        # destination pole and auxiliary pole
        if (num_of_disks % 2 == 0):
                temp = d
                d = a
                a = temp
        total_num_of_moves = int(pow(2, num_of_disks) - 1)

        # Larger disks will be pushed first
        for i in range(num_of_disks, 0, -1):
                push(src, i)

        for i in range(1, total_num_of_moves + 1):
                if (i % 3 == 1):
                        moveDisksBetweenTwoPoles(src, dest, s, d)

                else if (i % 3 == 2):
                        moveDisksBetweenTwoPoles(src, aux, s, a)

                else if (i % 3 == 0):
                        moveDisksBetweenTwoPoles(aux, dest, a, d)

# Input: number of disks
num_of_disks = 3

# Create three stacks of size 'num_of_disks'
# to hold the disks
src = createStack(num_of_disks)
dest = createStack(num_of_disks)
aux = createStack(num_of_disks)

tohIterative(num_of_disks, src, aux, dest)

# This code is contributed by divyeshrabadiya07.
","1. Calculate the total number of moves required i.e. ""pow(2, n)
   - 1"" here n is number of disks.
2. If number of disks (i.e. n) is even then interchange destination 
   pole and auxiliary pole.
3. for i = 1 to total number of moves:
     if i%3 == 1:
    legal movement of top disk between source pole and 
        destination pole
     if i%3 == 2:
    legal movement top disk between source pole and 
        auxiliary pole    
     if i%3 == 0:
        legal movement top disk between auxiliary pole 
        and destination pole "
101,"def TowerOfHanoi(n , from_rod, to_rod, aux_rod):
    if n == 1:
        print(""Move disk 1 from rod"",from_rod,""to rod"",to_rod)
        return
    TowerOfHanoi(n-1, from_rod, aux_rod, to_rod)
    print(""Move disk"",n,""from rod"",from_rod,""to rod"",to_rod)
    TowerOfHanoi(n-1, aux_rod, to_rod, from_rod)
         

n = int(input(""Enter the number of disks""))
TowerOfHanoi(n, 'A', 'C', 'B')","1. Function f() (e.g. hanoi(n,start,end)) outputs a sequence of steps to move n disks from the start rod to the end rod.
2. Show f(1) works => Base case.
3. Assume f(n-1) works .
4. Show f(1) works using f(n-1)."
102,"def sortby(a, b):

    if (a[0] != b[0]):
        return a[0] < b[0]

    return (a[1] < b[1])


def kOverlap(pairs, k): 
     
    vec = [] 
    for i in range(len(pairs)): 

        vec.append([ pairs[i][0], -1 ])
        vec.append([ pairs[i][1], +1 ])

    vec.sort()
    st = [] 
    for i in range(len(vec)):

        cur = vec[i] 
        
        if (cur[1] == -1):
            st.append(cur) 
        
        else:
            st.pop()

        if (len(st) >= k): 
            return True 

    return False


for _ in range(int(input())):

    n, k =map(int,input().split())
    pairs = []
    for i in range(n):
        pairs.append(list(map(int,input().split())))

    if kOverlap(pairs, k):
        print(""Yes"")
    else:
        print(""No"")","1. Find maximum area for row[0]
2. For each row in 1 to N – 1
   a. for each column in that row
       i. if A[row][column] == 1 then update A[row][column] with A[row][column] += A[row - 1][column]
    b. find area for that row
    c. and update maximum area so far"
103,"# Python3 Program to convert postfix to prefix

# function to check if
# character is operator or not


def isOperator(x):

	if x == ""+"":
		return True

	if x == ""-"":
		return True

	if x == ""/"":
		return True

	if x == ""*"":
		return True

	return False

# Convert postfix to Prefix expression


def postToPre(post_exp):

	s = []

	# length of expression
	length = len(post_exp)

	# reading from right to left
	for i in range(length):

		# check if symbol is operator
		if (isOperator(post_exp[i])):

			# pop two operands from stack
			op1 = s[-1]
			s.pop()
			op2 = s[-1]
			s.pop()

			# concat the operands and operator
			temp = post_exp[i] + op2 + op1

			# Push string temp back to stack
			s.append(temp)

		# if symbol is an operand
		else:

			# push the operand to the stack
			s.append(post_exp[i])

	
	ans = """"
	for i in s:
		ans += i
	return ans


# Driver Code
if __name__ == ""__main__"":

	post_exp = ""AB+CD-""
	
	# Function call
	print(""Prefix : "", postToPre(post_exp))

# This code is contributed by AnkitRai01
","1. Read the Postfix expression from left to right
2. If the symbol is an operand, then push it onto the Stack
     a. If the symbol is an operator, then pop two operands from the Stack 
     b. Create a string by concatenating the two operands and the operator before them. 
          string = operator + operand2 + operand1 
      c. And push the resultant string back to Stack
3. Repeat the above steps until end of Postfix expression."
104,"# your code goes here
def solve(A):

    mx=0
    i=0
    
    if(len(A)==1):
        return A[0]
    
    s = []

    while(i < len(A)):
    
        if(len(s) == 0 or A[s[-1]] <= A[i]):
    
            s.append(i)
            i += 1
    
        else:
    
            tp=s[-1]
            s.pop()
    
            if not s:
                res = i
    
            else:
                res = i - s[-1] - 1
    
            mxtop=A[tp]*(res)
    
            if(mx<mxtop):
                mx=mxtop

    while s: 
    
        tp=s[-1]
        s.pop()
    
        if not s:
                res = i
    
        else:
            res = i - s[-1] - 1
    
        mxtop=A[tp]*(res)
    
        if(mx<mxtop):
            mx=mxtop

    return mx

for _ in range(int(input())):
    n = int(input())
    v = list(map(int,input().split()))
    print(solve(v))","1. Create an empty stack.
2. Start from first house, and do following for every house ‘house[i]’ where ‘i’ varies from 0 to n-1.
    a. If stack is empty or house[i] is higher than the house at top of stack, then push ‘i’ to stack.
    b. If this house is smaller than the top of stack, then keep removing the top of stack while top of the stack is greater. Let the removed bar be house[tp]. Calculate area of rectangle with house[tp] as smallest house. For house[tp], the ‘left index’ is previous (previous to tp) item in stack and ‘right index’ is ‘i’ (current index).
3. If the stack is not empty, then one by one remove all houses from stack and do step 2.2 for every removed house."
105,"# The Node class for Linked List
class Node():
        def __init__(self,data):
                
                self.next = None
                self.prev = None
                self.data = data

class Stack():
        
        # Initialize stack class with
        # its head and tail as None
        def __init__(self):
                
                self.head = None
                self.tail = None

        def push(self, data):
                
                new_node = Node(data)
                
                if (self.head == None):
                        self.head = new_node
                        self.head.next= None
                        self.head.prev = None
                        self.tail = new_node

                else:
                        new_node.prev = self.tail
                        self.tail.next = new_node
                        self.tail = new_node

        def pop(self):
                
                if (self.head == None):
                        print(""Stack underflow"")

                if (self.head == self.tail):
                        self.head = None
                        self.tail = None

                else:
                        node = self.tail
                        self.tail = self.tail.prev
                        del node
                        self.tail.next = None

        # self (stack) is linked on top (which is tail here) of stack
        # self becomes the merged stack
        def merge(self, stack):
                if stack.head == None: return # if stack is empty self stays as it is
                if self.head == None:         # self (stack) is empty -> point to stack
                        self.head = stack.head
                        self.tail = stack.tail
                        return
                self.head.prev = stack.tail # link self on top of stack
                stack.tail.nxt = self.head
                self.head = stack.head         # set new head for self (stack)

        def display(self):
                
                if (self.tail != None):
                        n = self.tail
                        
                        while (n != None):
                                print(n.data, end = "" "")
                                n = n.prev

                        print()

                else:
                        print(""Stack Underflow"")

# Driver code
ms1 = Stack()
ms2 = Stack()

ms1.push(6)
ms1.push(5)
ms1.push(4)
ms2.push(9)
ms2.push(8)
ms2.push(7)

ms1.merge(ms2)
ms1.display()
while ms1.head != ms1.tail:
ms1.pop ()
print (""check pop all elements until head == tail (one element left)"")
print (""on merged stack: "", end = """")
ms1.display()
# This code is contributed by maheswaripiyush9
","1. Delete old arrays. 
2. Create a new array for s1 with a size equal to the size of the old array for s1 plus size of s2. 
3. Copy old contents of s1 and s2 to new array for s1 "
106,"# your code goes here
def kOverlap(pairs, k):
    
    vec = []
    
    for i in range(len(pairs)):
        vec.append([pairs[i][0], -1])
        vec.append([pairs[i][1], 1])
    
    vec.sort()
    st = []
    
    for i in range(len(vec)):
    
        cur = vec[i]
    
        if cur[1] == -1:
            st.append(cur)
        else:
            st.pop()
    
        if len(st) >= k:
            return True
    
    return False

for _ in range(int(input())):
    
    n, k = map(int,input().split())
    pairs = []
    
    for i in range(n):
        pairs.append(list(map(int,input().split())))
    
    if kOverlap(pairs, k):
        print(""Yes"")
    else:
        print(""No"")","1. The idea is to make a vector of pair and store the starting point for every range as pair in this vector as (starting point, -1) and the ending point as (ending point, 1).
2. Now, sort the vector then traverse the vector and if the current element is a starting point then push it in a stack and if it is an ending point then pop an element from the stack.
3. If at any instance of time, the size of the stack is greater than or equal K then print Yes else print No in the end."
107,"# Python program for the above approach

# Function to find the segment which
# overlaps with maximum number of segments
from bisect import bisect_left
from bisect import bisect_right

def maxIntersection(segments, N):
        # 'L' & 'R' co-ordinates of all
        # segments are stored in lvalues & rvalues
        rvalues = []
        lvalues = []

        # Assign co-ordinates
        for i in range(N):
                lvalues.append(segments[i][0])
                rvalues.append(segments[i][1])

        # Co-ordinate compression
        lvalues.sort()
        rvalues.sort()

        # Stores the required segment
        answer = [-1, -1]

        # Stores the current maximum
        # number of intersections
        numIntersections = 0

        for i in range(N):

                # Find number of 'R' coordinates
                # which are less than the 'L'
                # value of the current segment
                lesser = bisect_left(rvalues, segments[i][0], 0, len(segments))

                # Find number of 'L' coordinates
                # which are greater than the 'R'
                # value of the current segment
                greater = max(
                        0, N - (bisect_right(lvalues, segments[i][1], 0, len(segments))))

                # Segments excluding 'lesser' and
                # 'greater' gives the number of
                # intersections
                if ((N - lesser - greater) >= numIntersections):
                        answer = [segments[i][0], segments[i][1]]

                        # Update the current maximum
                        numIntersections = (N - lesser - greater)

        # Print segment coordinates
        print(answer[0], answer[1])


# Driver Code
# Given segments
segments = [[1, 4], [2, 3], [3, 6]]

# Size of segments array
N = len(segments)

maxIntersection(segments, N)

# The code is contributed by Gautam goel (gautamgoel962)
","1. It is clear that in a segment [currL, currR], all the ‘R’ values of the remaining segments which are less than ‘currL’ and all the ‘L’ values of the remaining segments which are greater than ‘currR’ will not be counted to the answer.
2. Store all the ‘R’ values in an array and perform a binary search to find all the ‘R’ values less than ‘currL’ and similarly do this to find all the ‘L’ values greater than ‘currR’.
3. Traverse the array and update the segment coordinates with the maximum intersection at each iteration.
4. Print the segment with the maximum intersection."
108,"# python3 program to Implement a stack
# using singly linked list

class Node:

        # Class to create nodes of linked list
        # constructor initializes node automatically
        def __init__(self, data):
                self.data = data
                self.next = None


class Stack:

        # head is default NULL
        def __init__(self):
                self.head = None

        # Checks if stack is empty
        def isempty(self):
                if self.head == None:
                        return True
                else:
                        return False

        # Method to add data to the stack
        # adds to the start of the stack
        def push(self, data):

                if self.head == None:
                        self.head = Node(data)

                else:
                        newnode = Node(data)
                        newnode.next = self.head
                        self.head = newnode

        # Remove element that is the current head (start of the stack)
        def pop(self):

                if self.isempty():
                        return None

                else:
                        # Removes the head node and makes
                        # the preceding one the new head
                        poppednode = self.head
                        self.head = self.head.next
                        poppednode.next = None
                        return poppednode.data

        # Returns the head node data
        def peek(self):

                if self.isempty():
                        return None

                else:
                        return self.head.data

        # Prints out the stack
        def display(self):

                iternode = self.head
                if self.isempty():
                        print(""Stack Underflow"")

                else:

                        while(iternode != None):

                                print(iternode.data, end = """")
                                iternode = iternode.next
                                if(iternode != None):
                                        print("" -> "", end = """")
                        return


# Driver code
if __name__ == ""__main__"":
MyStack = Stack()

MyStack.push(11)
MyStack.push(22)
MyStack.push(33)
MyStack.push(44)

# Display stack elements
MyStack.display()

# Print top element of stack
print(""\nTop element is "", MyStack.peek())

# Delete top elements of stack
MyStack.pop()
MyStack.pop()

# Display stack elements
MyStack.display()

# Print top element of stack
print(""\nTop element is "", MyStack.peek())

# This code is contributed by Mathew George
","1. Initialise a node
2. Update the value of that node by data i.e. node->data = data
3. Now link this node to the top of the linked list
4. And update top pointer to the current node
5. First Check whether there is any node present in the linked list or not, if not then return
6. Otherwise make pointer let say temp to the top node and move forward the top node by 1 step
7. Now free this temp node
8. Take a temp node and initialize it with top pointer 
9. Now start traversing temp till it encounters NULL
10. Simultaneously print the value of the temp node"
109,"# Python3 code to find largest three
# elements in an array
import sys

# Function to print three largest
# elements
def print3largest(arr, arr_size):

        # There should be atleast three
        # elements
        if (arr_size < 3):
        
                print("" Invalid Input "")
                return
        
        third = first = second = -sys.maxsize
        
        for i in range(0, arr_size):
        
                # If current element is greater
                # than first
                if (arr[i] > first):
                
                        third = second
                        second = first
                        first = arr[i]
                

                # If arr[i] is in between first
                # and second then update second
                elif (arr[i] > second):
                
                        third = second
                        second = arr[i]
                
                elif (arr[i] > third):
                        third = arr[i]
        
        print(""Three largest elements are"",
                                first, second, third)

# Driver program to test above function
arr = [12, 13, 1, 10, 34, 1]
n = len(arr)
print3largest(arr, n)

# This code is contributed by Smitha Dinesh Semwal
# and edited by Ayush Singla(@ayusin51).
","1) Initialize the largest three elements as minus infinite.
    first = second = third = -∞

2) Iterate through all elements of array.
   a) Let current array element be x.
   b) If (x > first)
      {
          // This order of assignment is important
          third = second
          second = first
          first = x   
       }
   c)  Else if (x > second and x != first)
      {
          third = second
          second = x 
      }
   d)  Else if (x > third and x != second)
      {
          third = x  
      }

3) Print first, second and third."
110,"# Python3 code to find largest
# three elements in an array
def find3largest(arr, n):
        arr = sorted(arr) # It uses Tuned Quicksort with
                                        # avg. case Time complexity = O(nLogn)

        check = 0
        count = 1

        for i in range(1, n + 1):

                if(count < 4):
                        if(check != arr[n - i]):
                                
                                # to handle duplicate values
                                print(arr[n - i], end = "" "")
                                check = arr[n - i]
                                count += 1
                else:
                        break

# Driver code
arr = [12, 45, 1, -1, 45,
        54, 23, 5, 0, -10]
n = len(arr)
find3largest(arr, n)

# This code is contributed by mohit kumar
","1) Initialize the largest three elements as minus infinite.
    first = second = third = -∞

2) Iterate through all elements of array.
   a) Let current array element be x.
   b) If (x > first)
      {
          // This order of assignment is important
          third = second
          second = first
          first = x   
       }
   c)  Else if (x > second and x != first)
      {
          third = second
          second = x 
      }
   d)  Else if (x > third and x != second)
      {
          third = x  
      }

3) Print first, second and third."
111,"# Python program to implement
# the above approach

# Driver Code
V = [ 11, 65, 193, 36, 209, 664, 32 ];
V.sort()
V.reverse()

print(f""first = {V[0]}"");
print(f""second = {V[1]}"");
print(f""third = {V[2]}"");
        
# This code is contributed by Saurabh Jaiswal
","1) Initialize the largest three elements as minus infinite.
    first = second = third = -∞

2) Iterate through all elements of array.
   a) Let current array element be x.
   b) If (x > first)
      {
          // This order of assignment is important
          third = second
          second = first
          first = x   
       }
   c)  Else if (x > second and x != first)
      {
          third = second
          second = x 
      }
   d)  Else if (x > third and x != second)
      {
          third = x  
      }

3) Print first, second and third."
